power,heartRate,cadence,time
164.0,120.0,71.0,1000.0
165.0,122.0,70.0,1001.0
166.0,122.0,70.0,1002.0
165.0,123.0,70.0,1003.0
165.0,123.0,70.0,1004.0
165.0,122.0,72.0,1005.0
166.0,120.0,71.0,1006.0
165.0,120.0,71.0,1007.0
164.0,119.0,72.0,1008.0
164.0,117.0,71.0,1009.0
165.0,117.0,72.0,1010.0
166.0,118.0,71.0,1011.0
165.0,120.0,72.0,1012.0
164.0,120.0,72.0,1013.0
165.0,121.0,72.0,1014.0
164.0,120.0,72.0,1015.0
165.0,118.0,72.0,1016.0
164.0,117.0,71.0,1017.0
165.0,117.0,71.0,1018.0
164.0,118.0,71.0,1019.0
164.0,120.0,72.0,1020.0
165.0,122.0,70.0,1021.0
164.0,124.0,70.0,1022.0
164.0,125.0,70.0,1023.0
164.0,127.0,71.0,1024.0
164.0,127.0,71.0,1025.0
165.0,125.0,71.0,1026.0
164.0,124.0,71.0,1027.0
163.0,126.0,70.0,1028.0
164.0,125.0,70.0,1029.0
163.0,123.0,70.0,1030.0
164.0,122.0,70.0,1031.0
166.0,122.0,68.0,1032.0
167.0,120.0,69.0,1033.0
165.0,118.0,71.0,1034.0
163.0,118.0,72.0,1035.0
165.0,119.0,73.0,1036.0
164.0,118.0,72.0,1037.0
165.0,119.0,72.0,1038.0
165.0,118.0,72.0,1039.0
166.0,117.0,72.0,1040.0
165.0,117.0,73.0,1041.0
165.0,115.0,72.0,1042.0
165.0,114.0,73.0,1043.0
164.0,114.0,73.0,1044.0
163.0,115.0,72.0,1045.0
164.0,115.0,72.0,1046.0
164.0,116.0,71.0,1047.0
164.0,116.0,70.0,1048.0
165.0,117.0,71.0,1049.0
164.0,119.0,71.0,1050.0
164.0,119.0,71.0,1051.0
163.0,119.0,71.0,1052.0
165.0,120.0,71.0,1053.0
164.0,119.0,71.0,1054.0
166.0,118.0,72.0,1055.0
164.0,117.0,72.0,1056.0
164.0,117.0,72.0,1057.0
164.0,118.0,71.0,1058.0
164.0,117.0,71.0,1059.0
163.0,118.0,71.0,1060.0
164.0,118.0,70.0,1061.0
166.0,118.0,70.0,1062.0
166.0,119.0,70.0,1063.0
166.0,120.0,70.0,1064.0
164.0,121.0,71.0,1065.0
166.0,122.0,71.0,1066.0
164.0,122.0,72.0,1067.0
164.0,122.0,72.0,1068.0
164.0,122.0,72.0,1069.0
166.0,122.0,72.0,1070.0
164.0,122.0,72.0,1071.0
164.0,123.0,72.0,1072.0
164.0,123.0,72.0,1073.0
164.0,123.0,72.0,1074.0
165.0,122.0,71.0,1075.0
163.0,122.0,70.0,1076.0
164.0,122.0,70.0,1077.0
167.0,123.0,71.0,1078.0
165.0,123.0,72.0,1079.0
163.0,123.0,72.0,1080.0
164.0,122.0,72.0,1081.0
165.0,122.0,72.0,1082.0
165.0,120.0,72.0,1083.0
163.0,121.0,71.0,1084.0
165.0,121.0,71.0,1085.0
167.0,122.0,72.0,1086.0
166.0,122.0,74.0,1087.0
165.0,120.0,74.0,1088.0
164.0,120.0,74.0,1089.0
163.0,119.0,73.0,1090.0
164.0,122.0,73.0,1091.0
165.0,123.0,72.0,1092.0
164.0,122.0,72.0,1093.0
165.0,121.0,71.0,1094.0
165.0,121.0,72.0,1095.0
165.0,122.0,73.0,1096.0
163.0,123.0,73.0,1097.0
165.0,122.0,74.0,1098.0
164.0,120.0,72.0,1099.0
165.0,120.0,72.0,1100.0
165.0,119.0,72.0,1101.0
164.0,119.0,72.0,1102.0
164.0,119.0,72.0,1103.0
164.0,117.0,72.0,1104.0
164.0,119.0,72.0,1105.0
164.0,120.0,72.0,1106.0
165.0,120.0,72.0,1107.0
165.0,121.0,72.0,1108.0
165.0,122.0,71.0,1109.0
167.0,122.0,71.0,1110.0
165.0,123.0,72.0,1111.0
165.0,122.0,73.0,1112.0
164.0,122.0,73.0,1113.0
165.0,121.0,73.0,1114.0
164.0,121.0,72.0,1115.0
164.0,121.0,72.0,1116.0
165.0,122.0,72.0,1117.0
165.0,123.0,72.0,1118.0
164.0,121.0,71.0,1119.0
164.0,122.0,71.0,1120.0
165.0,122.0,71.0,1121.0
164.0,122.0,71.0,1122.0
165.0,122.0,71.0,1123.0
167.0,123.0,71.0,1124.0
165.0,123.0,72.0,1125.0
165.0,124.0,73.0,1126.0
166.0,122.0,74.0,1127.0
165.0,122.0,74.0,1128.0
164.0,122.0,75.0,1129.0
167.0,121.0,76.0,1130.0
165.0,123.0,77.0,1131.0
164.0,123.0,78.0,1132.0
164.0,121.0,77.0,1133.0
164.0,120.0,77.0,1134.0
164.0,118.0,75.0,1135.0
164.0,117.0,74.0,1136.0
164.0,115.0,73.0,1137.0
164.0,115.0,73.0,1138.0
165.0,115.0,73.0,1139.0
165.0,116.0,72.0,1140.0
164.0,116.0,72.0,1141.0
164.0,117.0,72.0,1142.0
165.0,117.0,71.0,1143.0
165.0,117.0,72.0,1144.0
164.0,118.0,71.0,1145.0
164.0,118.0,70.0,1146.0
165.0,119.0,70.0,1147.0
165.0,119.0,70.0,1148.0
165.0,119.0,71.0,1149.0
164.0,118.0,71.0,1150.0
166.0,118.0,72.0,1151.0
164.0,118.0,72.0,1152.0
164.0,117.0,72.0,1153.0
